labo_name|statut|nb_subscribers
Aalto University School of Business|Researcher|1
Aristotle University of Thessaloniki |PhD|1
Arizona State University|Researcher|1
Athens University of Economics and Business|Researcher|1
Auckland University of Technology|Researcher|1
CERAG, Université Grenoble Alpes|PhD|1
CNAM|Researcher|1
CREM - UMR6211 - Rennes 1 Caen Normandie|Researcher|1
Central European University|Researcher|1
CentraleSupelec|Researcher|2
Clarity AI|Administration|1
Copenhagen Business School|Researcher|1
DVRC – Pôle Universitaire Léonard de Vinci|Researcher|1
EBAPE - Brazilian School of Public and Business|Researcher|1
EDHEC Business School|Researcher|1
ESCP|Researcher|1
ESCP|Student|10
ESLSCA Business School Paris|Researcher|1
ESSEC|Administration|1
ESSEC|PhD|11
ESSEC|Researcher|10
ESSEC|Student|42
Ecole Centrale de Lyon|Researcher|1
EconomiX - UMR7235 - Université de Nanterre |Administration|1
EconomiX - UMR7235 - Université de Nanterre |PhD|1
Florida International University|Researcher|1
Frankfurt School of Finance & Management|Researcher|1
Ghent University|PhD|1
Humboldt University|Researcher|1
IAE Lille|PhD|3
IAE Lille|Researcher|16
IAE Lille|Student|180
IAE Lyon|Researcher|6
IAE Lyon|Student|1
IAE Paris Sorbonne Business School|Researcher|6
IAE de Brest|Researcher|1
ICN Business School|Researcher|1
IESEG|Researcher|1
ILB Datalab|Researcher|1
Illinois Institute of Technology|Researcher|1
Institute of Business Management|Researcher|1
Kedge Business School|Researcher|4
Kozminski University|Researcher|1
Kuwait University|Researcher|1
LARGE - Université de Strasbourg|PhD|1
LARGE - Université de Strasbourg|Researcher|5
LARGE - Université de Strasbourg|Student|1
LEO - Laboratoire d'Economie d'Orléans|PhD|1
LITEM|Researcher|1
LSE - London School of Economics|Researcher|1
Lancaster University|Researcher|1
Le Mans Université|Researcher|1
London Business School|Researcher|1
Maastricht University|PhD|1
Macquarie Business School|Researcher|1
Massey University|Researcher|1
Maynooth University|Researcher|1
Montpellier Business School |Researcher|1
National Kaohsiung University|Researcher|1
National University of Singapore|Researcher|1
National and Kapodistrian University of Athens|Researcher|2
Neoma Business School|Researcher|1
OpenScop|Administration|1
PRISM, Université Paris 1 Panthéon-Sorbonne|Researcher|1
PUC-Rio|Researcher|1
Paris December Finance Meeting 2024|PhD|2
Paris December Finance Meeting 2024|Researcher|94
Paris School of Business|Researcher|1
PjSE – UMR8545 – Paris-Jourdan Sciences Eco|PhD|1
PjSE – UMR8545 – Paris-Jourdan Sciences Eco|Researcher|1
Pompeu Fabra University|Researcher|1
Portland State University|Researcher|1
Princeton University|Researcher|1
Queen's University Belfast|Researcher|1
Saint Louis University|PhD|1
ShanghaiTech University|Researcher|1
THEMA - UMR8184 - Université de Cergy-Pontoise |Researcher|1
Texas A&M University|Researcher|1
The Pennsylvania State University|PhD|1
The University of Hong Kong (HKU)|PhD|1
The University of Hong Kong (HKU)|Researcher|1
Tuck School of Business at Dartmouth College|Researcher|1
UNSW Sydney|Researcher|1
UNSW Sydney|Student|1
Universidad de Castilla - La Mancha|Researcher|1
Universidad de Chile|Researcher|1
University of Augsburg|PhD|1
University of Chittagong|Researcher|1
University of Lausanne|Researcher|1
University of Luxembourg|Researcher|1
University of Mannheim|Researcher|1
University of Nebraska-Lincoln|Researcher|1
University of New England|Researcher|1
University of New South Wales|Researcher|1
University of North Texas|Researcher|1
University of Ottawa|Researcher|1
University of Perugia|Researcher|1
University of Portsmouth|Researcher|1
University of South Carolina|Researcher|1
University of Sydney|PhD|1
University of Texas at Arlington|Researcher|1
University of Warwick|PhD|1
University of Warwick|Researcher|2
Università di Padova|Researcher|1
Université Laval|Researcher|2
Université Paris 1 Panthéon-Sorbonne |Researcher|1
Université Paris Nanterre|Researcher|1
Université Paris-Saclay|PhD|1
Université Paris-Saclay|Researcher|4
Université Paris-Saclay|Student|2
Université catholique de Lyon|Researcher|1
Université de Montréal|Administration|1
Université de Montréal|Researcher|3
Université de Montréal|Student|2
Université de Sherbrooke|Researcher|1
Université du Québec à Trois-Rivières|Administration|1
Université du Québec à Trois-Rivières|Researcher|1
Wilfrid Laurier University|Researcher|1
XLRI - Xavier School of Management|Researcher|1
Yonsei University|Researcher|1
